# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
3208205,693,-138,709,-52,280,-376
3213787,691,-141,710,-52,280,-376
3219052,691,-141,711,-52,280,-376
3224315,691,-138,713,-52,280,-376
3229580,691,-138,709,-52,280,-376
3234846,691,-137,710,-52,280,-376
3240111,691,-141,708,-52,280,-376
3245375,689,-141,709,-52,280,-376
3250640,692,-141,712,-52,280,-376
3255905,689,-139,713,-52,280,-376
3261170,692,-139,708,-52,280,-376
3266434,692,-138,710,-52,280,-376
3271698,690,-136,712,-52,280,-376
3276964,692,-140,711,-52,280,-376
3282447,689,-143,711,-52,280,-376
3287711,689,-142,711,-52,280,-376
3292976,691,-139,712,-52,280,-376
3298240,689,-142,709,-52,280,-376
3303504,689,-139,711,-52,280,-376
3308768,691,-141,713,-52,280,-376
3314033,689,-139,709,-52,280,-376
3319297,693,-138,711,-52,280,-376
3324562,691,-138,710,-52,280,-376
3329826,690,-137,712,-52,280,-376
3335090,689,-138,710,-52,280,-376
3340354,692,-142,710,-52,280,-376
3345620,690,-137,711,-52,280,-376
3350886,689,-137,711,-48,297,-363
3356468,691,-137,713,-48,297,-363
3361732,693,-138,712,-48,297,-363
3367190,690,-140,710,-48,297,-363
3372454,692,-139,711,-48,297,-363
3377718,690,-138,708,-48,297,-363
3383201,692,-138,708,-48,297,-363
3388465,691,-137,709,-48,297,-363
3393730,692,-139,710,-48,297,-363
3398995,692,-140,712,-48,297,-363
3404259,693,-137,709,-48,297,-363
3409524,691,-143,707,-48,297,-363
3414790,692,-138,710,-48,297,-363
3420054,692,-141,713,-48,297,-363
3425317,691,-140,711,-48,297,-363
3430582,692,-137,710,-48,297,-363
3435847,691,-139,709,-48,297,-363
3441112,691,-140,711,-48,297,-363
3446377,692,-140,712,-48,297,-363
3451641,691,-138,709,-48,297,-363
3456907,691,-138,709,-48,297,-363
3462171,689,-138,709,-48,297,-363
3467436,693,-139,713,-48,297,-363
3472700,690,-139,713,-48,297,-363
3478184,691,-137,712,-48,297,-363
3483448,693,-139,709,-48,297,-363
3488713,690,-139,709,-52,271,-367
3494295,689,-140,709,-52,271,-367
3499560,691,-139,711,-52,271,-367
3504825,687,-138,711,-52,271,-367
3510089,693,-139,712,-52,271,-367
3515353,691,-142,712,-52,271,-367
3520617,691,-136,711,-52,271,-367
3525882,692,-140,710,-52,271,-367
3531147,691,-140,710,-52,271,-367
3536411,693,-140,711,-52,271,-367
3541676,690,-138,712,-52,271,-367
3546941,691,-138,712,-52,271,-367
3552207,690,-141,708,-52,271,-367
3557471,691,-140,712,-52,271,-367
3562736,694,-139,712,-52,271,-367
3568000,691,-141,711,-52,271,-367
3573266,693,-139,711,-52,271,-367
3578749,692,-137,711,-52,271,-367
3584014,692,-139,709,-52,271,-367
3589278,691,-138,713,-52,271,-367
3594543,689,-138,712,-52,271,-367
3599807,691,-141,711,-52,271,-367
3605071,693,-138,710,-52,271,-367
3610336,694,-140,713,-52,271,-367
3615600,693,-140,711,-52,271,-367
3620866,694,-139,713,-52,271,-367
3626130,689,-140,712,-52,271,-367
3631394,690,-139,709,-39,288,-358
3636977,694,-139,712,-39,288,-358
3642241,692,-138,709,-39,288,-358
3647506,693,-142,710,-39,288,-358
3652771,692,-140,713,-39,288,-358
3658036,688,-139,708,-39,288,-358
3663299,693,-140,710,-39,288,-358
3668565,691,-138,710,-39,288,-358
3673829,689,-139,709,-39,288,-358
3679313,693,-140,712,-39,288,-358
3684578,690,-141,711,-39,288,-358
3689843,693,-140,709,-39,288,-358
3695107,693,-140,713,-39,288,-358
3700371,691,-138,711,-39,288,-358
3705636,692,-140,712,-39,288,-358
3710901,690,-138,711,-39,288,-358
3716165,692,-138,710,-39,288,-358
3721429,691,-136,710,-39,288,-358
3726693,694,-140,713,-39,288,-358
3731959,691,-140,710,-39,288,-358
3737223,690,-138,709,-39,288,-358
3742489,693,-140,709,-39,288,-358
3747753,692,-140,710,-39,288,-358
3753018,690,-137,711,-39,288,-358
3758281,690,-138,711,-39,288,-358
3763547,689,-141,711,-39,288,-358
3768811,692,-138,707,-39,288,-358
3774294,692,-140,710,-39,275,-371
3779876,691,-141,712,-39,275,-371
3785140,691,-138,710,-39,275,-371
3790404,693,-140,711,-39,275,-371
3795669,693,-137,711,-39,275,-371
3800934,693,-139,710,-39,275,-371
3806198,692,-139,711,-39,275,-371
3811462,689,-139,711,-39,275,-371
